category,epoch,loss,bce,dice,identity,residual_l1,normal_fp
screw,1,2.0439295768737793,0.5462921857833862,0.973471999168396,0.0,0.0,0.5241653919219971
screw,20,2.0357253551483154,0.5389618277549744,0.9735067486763,7.670154445804656e-06,0.00246212026104331,0.5207793116569519
screw,40,2.0262019634246826,0.5311675071716309,0.973917543888092,4.45331861556042e-05,0.004716628231108189,0.5163112282752991
screw,60,2.0116963386535645,0.5209559202194214,0.9747256636619568,0.00019681891717482358,0.007379031274467707,0.508242130279541
screw,80,2.0022711753845215,0.5139979124069214,0.9751193523406982,0.00035982561530545354,0.009804016910493374,0.5026301741600037
screw,100,1.9942152500152588,0.5080767869949341,0.9752531051635742,0.0005090881604701281,0.012346114963293076,0.4975210428237915
screw,120,1.9866015911102295,0.5022581815719604,0.9752079248428345,0.0006544863572344184,0.015270142816007137,0.4925564229488373
screw,140,1.979447364807129,0.49661388993263245,0.9750991463661194,0.0008225281490013003,0.018278278410434723,0.4878109395503998
screw,160,1.9726248979568481,0.49132731556892395,0.9750880599021912,0.0010226978920400143,0.020951014012098312,0.48321306705474854
screw,180,1.966050148010254,0.48627281188964844,0.9750744700431824,0.0012381623964756727,0.02359476126730442,0.4786317050457001
screw,200,1.9598774909973145,0.48161667585372925,0.9750468134880066,0.0014737403253093362,0.02604277990758419,0.4742237329483032
