dataset,category,method,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold,delta_auroc_vs_full,delta_ap_vs_full,delta_best_f1_vs_full,delta_accuracy_vs_full
MVTec AD 2,vial,patchcore_score,71,18,53,0.889937106918239,0.960453025278707,0.9203539823008849,0.8732394366197183,0.4937856495380401,0.2410901467505241,0.08826841710349187,0.06551527262346557,0.12676056338028163
MVTec AD 2,vial,context_1.50_top1,71,18,53,0.7746331236897275,0.9080592689759077,0.8666666666666667,0.7746478873239436,-0.0064833462238311,0.12578616352201255,0.03587466080069257,0.011827956989247324,0.028169014084507005
MVTec AD 2,vial,context_1.50_topk_mean,71,18,53,0.6981132075471698,0.8345120635735901,0.8666666666666667,0.7746478873239436,-0.0064726471900939,0.04926624737945484,-0.03767254460162506,0.011827956989247324,0.028169014084507005
MVTec AD 2,vial,square_context_1.00_top1,71,18,53,0.6519916142557652,0.8323762772145871,0.8617886178861789,0.7605633802816901,-0.0063733756542205,0.0031446540880503138,-0.03980833096062808,0.006949908208759514,0.014084507042253502
MVTec AD 2,vial,full_image,71,18,53,0.6488469601677149,0.8721846081752151,0.8548387096774194,0.7464788732394366,-0.0082238316535949,0.0,0.0,0.0,0.0
MVTec AD 2,vial,context_1.50_topk_max,71,18,53,0.6446540880503144,0.7717527167113428,0.8679245283018868,0.8028169014084507,-0.0008911788463592,-0.004192872117400492,-0.10043189146387232,0.013085818624467449,0.05633802816901412
MVTec AD 2,vial,square_context_1.00_topk_mean,71,18,53,0.549266247379455,0.790561856886299,0.859504132231405,0.7605633802816901,-0.0055802762508392,-0.09958071278825997,-0.08162275128891616,0.00466542255398561,0.014084507042253502
MVTec AD 2,vial,context_0.50_topk_max,71,18,53,0.5010482180293501,0.8148746641551494,0.8548387096774194,0.7464788732394366,-0.0044897496700286,-0.14779874213836486,-0.05730994402006573,0.0,0.0
MVTec AD 2,vial,context_1.00_top1,71,18,53,0.4989517819706499,0.7736255101489092,0.8548387096774194,0.7464788732394366,-0.0055205076932907,-0.14989517819706505,-0.09855909802630591,0.0,0.0
MVTec AD 2,vial,square_context_1.00_topk_max,71,18,53,0.49266247379454925,0.7044167147663906,0.859504132231405,0.7605633802816901,-0.0055802762508392,-0.15618448637316568,-0.1677678934088246,0.00466542255398561,0.014084507042253502
MVTec AD 2,vial,context_0.50_topk_mean,71,18,53,0.4916142557651992,0.792868921203411,0.8548387096774194,0.7464788732394366,-0.0044897496700286,-0.15723270440251574,-0.07931568697180413,0.0,0.0
MVTec AD 2,vial,context_0.20_topk_mean,71,18,53,0.49056603773584906,0.7436298648931144,0.8666666666666667,0.7746478873239436,-0.0033799161513646,-0.15828092243186587,-0.1285547432821007,0.011827956989247324,0.028169014084507005
MVTec AD 2,vial,context_0.20_topk_max,71,18,53,0.48532494758909855,0.7801920337297287,0.8617886178861789,0.7605633802816901,-0.0024402439594268,-0.16352201257861637,-0.09199257444548647,0.006949908208759514,0.014084507042253502
MVTec AD 2,vial,stage10e_crop_topk_mean,71,18,53,0.4811320754716981,0.7514416645238545,0.8688524590163934,0.7746478873239436,-0.0046595235665639,-0.1677148846960168,-0.12074294365136062,0.014013749338974035,0.028169014084507005
MVTec AD 2,vial,stage10e_crop_topk_max,71,18,53,0.46750524109014674,0.777748736765373,0.8617886178861789,0.7605633802816901,-0.0042547136545181,-0.1813417190775682,-0.09443587140984211,0.006949908208759514,0.014084507042253502
MVTec AD 2,vial,context_1.00_topk_mean,71,18,53,0.46016771488469604,0.7844096230251003,0.8548387096774194,0.7464788732394366,-0.0055205076932907,-0.18867924528301888,-0.08777498515011484,0.0,0.0
MVTec AD 2,vial,context_1.00_topk_max,71,18,53,0.42138364779874216,0.7333117435249853,0.8548387096774194,0.7464788732394366,-0.0055205076932907,-0.22746331236897277,-0.13887286465022985,0.0,0.0
MVTec AD 2,vial,context_0.50_top1,71,18,53,0.4140461215932914,0.7648537369637212,0.8548387096774194,0.7464788732394366,-0.0044897496700286,-0.23480083857442352,-0.10733087121149398,0.0,0.0
MVTec AD 2,vial,context_0.20_top1,71,18,53,0.389937106918239,0.7195461575390154,0.8617886178861789,0.7605633802816901,-0.0024402439594268,-0.2589098532494759,-0.15263845063619974,0.006949908208759514,0.014084507042253502
MVTec AD 2,vial,stage10e_crop_top1,71,18,53,0.3752620545073375,0.7080189762937539,0.8688524590163934,0.7746478873239436,-0.0050637573003768,-0.2735849056603774,-0.16416563188146127,0.014013749338974035,0.028169014084507005
