protocol,scope,category,method,fusion_pair,alpha_patchcore,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold
direct,ALL_PRIMARY,,patchcore_score,,,243,70,173,0.8086705202312139,0.9170089267905883,0.8641304347826088,0.7983539094650206,0.498451292514801
direct,ALL_PRIMARY,,full_image_score,,,243,70,173,0.520148637489678,0.7259513247865164,0.8398058252427185,0.7283950617283951,-0.0036223828792572
direct,ALL_PRIMARY,,context_topk_mean_score,,,243,70,173,0.6036333608587944,0.798256269563858,0.8337349397590361,0.7160493827160493,-0.0032171756029129
direct,category,fruit_jelly,patchcore_score,,,40,10,30,0.7166666666666667,0.910461401382017,0.8695652173913044,0.775,0.5555112361907959
direct,category,fruit_jelly,full_image_score,,,40,10,30,0.7533333333333334,0.899657746937724,0.9090909090909091,0.85,-0.0036223828792572
direct,category,fruit_jelly,context_topk_mean_score,,,40,10,30,0.8566666666666668,0.955646842818689,0.8852459016393444,0.825,0.0019203126430511
direct,category,sheet_metal,patchcore_score,,,57,12,45,0.7462962962962963,0.9259539089335671,0.8910891089108911,0.8070175438596491,0.4545032978057861
direct,category,sheet_metal,full_image_score,,,57,12,45,0.712962962962963,0.9025837307974744,0.9,0.8245614035087719,0.0018376410007476
direct,category,sheet_metal,context_topk_mean_score,,,57,12,45,0.587037037037037,0.8096274173023639,0.8823529411764706,0.7894736842105263,0.0063189417123794
direct,category,vial,patchcore_score,,,71,18,53,0.8731656184486374,0.9525488479575177,0.9298245614035088,0.8873239436619719,0.5038888454437256
direct,category,vial,full_image_score,,,71,18,53,0.6876310272536689,0.873345318857808,0.8548387096774194,0.7605633802816901,0.0007883608341217
direct,category,vial,context_topk_mean_score,,,71,18,53,0.5230607966457024,0.8041024863423215,0.8548387096774194,0.7464788732394366,-0.0027329673369725
direct,category,walnuts,patchcore_score,,,75,30,45,0.8051851851851852,0.8852999224044822,0.7962962962962964,0.7466666666666667,0.4180181920528412
direct,category,walnuts,full_image_score,,,75,30,45,0.42962962962962964,0.6286138336672294,0.7499999999999999,0.6,-0.0014523863792419
direct,category,walnuts,context_topk_mean_score,,,75,30,45,0.6429629629629628,0.7579855989513197,0.7563025210084033,0.6666666666666666,0.0088907033205032
same_set_grid,ALL_PRIMARY,,patchcore_plus_full_image_best_same_set,patchcore_plus_full_image,0.7,243,70,173,0.8083402146985963,0.9230321618515672,0.8521303258145363,0.757201646090535,-1.119100277924661
same_set_grid,ALL_PRIMARY,,patchcore_plus_context_best_same_set,patchcore_plus_context,0.68,243,70,173,0.8383980181668043,0.9361374320344857,0.8579088471849867,0.7818930041152263,-0.6962756975858118
