scope,method,auroc,ap
validation_all,D_z,0.9875,0.9942973734560602
validation_all,linear_123,0.823,0.9038014746228082
validation_all,linear_2026,0.8394999999999999,0.9102518272211364
validation_all,linear_42,0.8353999999999999,0.9097529909654977
validation_all,mlp_123,0.6719,0.8070162738378023
validation_all,mlp_2026,0.7595999999999999,0.8551634197584057
validation_all,mlp_42,0.7338,0.8320940982054676
validation_tiny,D_z,0.986842105263158,0.9870485459346281
validation_tiny,linear_123,0.8687770897832817,0.8570339517554169
validation_tiny,linear_2026,0.8838699690402477,0.8650140168133318
validation_tiny,linear_42,0.8724922600619195,0.853691534185856
validation_tiny,mlp_123,0.6588854489164087,0.599809334005557
validation_tiny,mlp_2026,0.7147368421052631,0.668424271741288
validation_tiny,mlp_42,0.6907894736842104,0.6103032440713747
